ccode,country,cmark,year,pop,lpop,region,western,eeurop,lamerica,ssafrica,asia,nafrme,colbrit,colfra,mtnest,lmtnest,elevdiff,ethfrac,ef,plural,second,numlang,relfrac,plurrel,minrelpc,muslim,nwstate,empethfrac,empwarl,emponset,empgdpenl,emplpopl,emplmtnest,empncontig
2,USA,1,1945,140969,11.856296,western democracies and japan,1,0,0,0,0,0,1,0,23.900002,3.2148678,6280,.3569501,.49095702,.69099998,.125,3,.59599996,56,28,1.9,0,.4936721,0,0,6.7971797,11.979191,3.2115722,1
2,USA,0,1946,141936,11.863132,western democracies and japan,1,0,0,0,0,0,1,0,23.900002,3.2148678,6280,.3569501,.49095702,.69099998,.125,3,.59599996,56,28,1.9,0,.3569501,0,0,6.7971797,11.979191,3.2148678,1
2,USA,0,1947,142713,11.868591,western democracies and japan,1,0,0,0,0,0,1,0,23.900002,3.2148678,6280,.3569501,.49095702,.69099998,.125,3,.59599996,56,28,1.9,0,.35695007,0,0,7.6539998,11.863132,3.2148678,1
2,USA,0,1948,145326,11.886735,western democracies and japan,1,0,0,0,0,0,1,0,23.900002,3.2148678,6280,.3569501,.49095702,.69099998,.125,3,.59599996,56,28,1.9,0,.3569501,0,0,8.0249996,11.868591,3.2148678,1
2,USA,0,1949,147987,11.90488,western democracies and japan,1,0,0,0,0,0,1,0,23.900002,3.2148678,6280,.3569501,.49095702,.69099998,.125,3,.59599996,56,28,1.9,0,.3569501,0,0,8.2700005,11.886735,3.2148678,1
2,USA,0,1950,152273,11.933431,western democracies and japan,1,0,0,0,0,0,1,0,23.900002,3.2148678,6280,.3569501,.49095702,.69099998,.125,3,.59599996,56,28,1.9,0,.3569501,0,0,8.04,11.90488,3.2148678,1
2,USA,0,1951,155000,11.95118,western democracies and japan,1,0,0,0,0,0,1,0,23.900002,3.2148678,6280,.3569501,.49095702,.69099998,.125,3,.59599996,56,28,1.9,0,.35695013,0,0,8.7720003,11.933431,3.2148678,1
2,USA,0,1952,157727,11.968621,western democracies and japan,1,0,0,0,0,0,1,0,23.900002,3.2148678,6280,.3569501,.49095702,.69099998,.125,3,.59599996,56,28,1.9,0,.35695013,0,0,9.1090002,11.95118,3.2148678,1
2,USA,0,1953,160475,11.985893,western democracies and japan,1,0,0,0,0,0,1,0,23.900002,3.2148678,6280,.3569501,.49095702,.69099998,.125,3,.59599996,56,28,1.9,0,.3569501,0,0,9.0740004,11.968621,3.2148678,1
2,USA,0,1954,163202,12.002744,western democracies and japan,1,0,0,0,0,0,1,0,23.900002,3.2148678,6280,.3569501,.49095702,.69099998,.125,3,.59599996,56,28,1.9,0,.3569501,0,0,9.3000002,11.985893,3.2148678,1
2,USA,0,1955,165929,12.019316,western democracies and japan,1,0,0,0,0,0,1,0,23.900002,3.2148678,6280,.3569501,.49095702,.69099998,.125,3,.59599996,56,28,1.9,0,.3569501,0,0,9.0889997,12.002744,3.2148678,1
2,USA,0,1956,168882,12.036956,western democracies and japan,1,0,0,0,0,0,1,0,23.900002,3.2148678,6280,.3569501,.49095702,.69099998,.125,3,.59599996,56,28,1.9,0,.3569501,0,0,9.7229996,12.019316,3.2148678,1
2,USA,0,1957,171835,12.05429,western democracies and japan,1,0,0,0,0,0,1,0,23.900002,3.2148678,6280,.3569501,.49095702,.69099998,.125,3,.59599996,56,28,1.9,0,.35695013,0,0,9.7119999,12.036956,3.2148678,1
