ccode,country,cmark,year,gdpen,gdptype,gdpenl,lgdpenl1,Oil
2,USA,1,1945,7.6259999,3,7.6259999,8.9393187,0
2,USA,0,1946,7.6539998,3,7.6259999,8.9393187,0
2,USA,0,1947,8.0249996,3,7.6539998,8.9429836,0
2,USA,0,1948,8.2700005,3,8.0249996,8.9903173,0
2,USA,0,1949,8.04,3,8.2700005,9.0203896,0
2,USA,0,1950,8.7720003,0,8.04,8.9921846,0
2,USA,0,1951,9.1090002,0,8.7720003,9.07932,0
2,USA,0,1952,9.0740004,0,9.1090002,9.1170177,0
2,USA,0,1953,9.3000002,0,9.0740004,9.1131687,0
2,USA,0,1954,9.0889997,0,9.3000002,9.1377697,0
2,USA,0,1955,9.7229996,0,9.0889997,9.1148205,0
2,USA,0,1956,9.7119999,0,9.7229996,9.1822491,0
2,USA,0,1957,9.6429996,0,9.7119999,9.1811171,0
2,USA,0,1958,9.3699999,0,9.6429996,9.1739874,0
2,USA,0,1959,9.8389997,0,9.3699999,9.1452684,0
2,USA,0,1960,9.8950005,0,9.8389997,9.194109,0
2,USA,0,1961,9.9460001,0,9.8950005,9.1997852,0
2,USA,0,1962,10.358,0,9.9460001,9.2049255,0
2,USA,0,1963,10.642,0,10.358,9.2455149,0
2,USA,0,1964,11.072,0,10.642,9.2725639,0
2,USA,0,1965,11.649,0,11.072,9.3121748,0
2,USA,0,1966,12.164,0,11.649,9.3629761,0
2,USA,0,1967,12.318,0,12.164,9.4062357,0
2,USA,0,1968,12.723,0,12.318,9.4188166,0
2,USA,0,1969,12.975,0,12.723,9.4511671,0
2,USA,0,1970,12.963,0,12.975,9.4707794,0
2,USA,0,1971,13.233,0,12.963,9.4698544,0
2,USA,0,1972,13.747,0,13.233,9.490469,0
2,USA,0,1973,14.379,0,13.747,9.5285759,0
2,USA,0,1974,14.078,0,14.379,9.5735245,0
2,USA,0,1975,13.682,0,14.078,9.5523682,0
2,USA,0,1976,14.271,0,13.682,9.5238361,0
2,USA,0,1977,14.832,0,14.271,9.5659847,0
2,USA,0,1978,15.44,0,14.832,9.6045427,0
2,USA,0,1979,15.637,0,15.44,9.6447172,0
2,USA,0,1980,15.295,0,15.637,9.6573954,0
2,USA,0,1981,15.502,0,15.295,9.6352816,0
2,USA,0,1982,14.897,0,15.502,9.6487246,0
2,USA,0,1983,15.29,0,14.897,9.6089153,0
2,USA,0,1984,16.254999,0,15.29,9.6349545,0
2,USA,0,1985,16.57,0,16.254999,9.6961555,0
2,USA,0,1986,16.848,0,16.57,9.7153492,0
2,USA,0,1987,17.186001,0,16.848,9.731987,0
2,USA,0,1988,17.709999,0,17.186001,9.7518501,0
2,USA,0,1989,18.094999,0,17.709999,9.7818851,0
2,USA,0,1990,18.054001,0,18.094999,9.8033905,0
2,USA,0,1991,17.594,0,18.054001,9.8011227,0
2,USA,0,1992,17.945,0,17.594,9.7753134,0
2,USA,0,1993,18.202553,2,17.945,9.7950668,0
2,USA,0,1994,18.703333,2,18.202999,9.8093176,0
