ccode,country,cmark,year,polity2,polity2l,instab,anocl,deml
2,USA,1,1945,10,10,0,0,1
2,USA,0,1946,10,10,0,0,1
2,USA,0,1947,10,10,0,0,1
2,USA,0,1948,10,10,0,0,1
2,USA,0,1949,10,10,0,0,1
2,USA,0,1950,10,10,0,0,1
2,USA,0,1951,10,10,0,0,1
2,USA,0,1952,10,10,0,0,1
2,USA,0,1953,10,10,0,0,1
2,USA,0,1954,10,10,0,0,1
2,USA,0,1955,10,10,0,0,1
2,USA,0,1956,10,10,0,0,1
2,USA,0,1957,10,10,0,0,1
2,USA,0,1958,10,10,0,0,1
2,USA,0,1959,10,10,0,0,1
2,USA,0,1960,10,10,0,0,1
2,USA,0,1961,10,10,0,0,1
2,USA,0,1962,10,10,0,0,1
2,USA,0,1963,10,10,0,0,1
2,USA,0,1964,10,10,0,0,1
2,USA,0,1965,10,10,0,0,1
2,USA,0,1966,10,10,0,0,1
2,USA,0,1967,10,10,0,0,1
2,USA,0,1968,10,10,0,0,1
2,USA,0,1969,10,10,0,0,1
2,USA,0,1970,10,10,0,0,1
2,USA,0,1971,10,10,0,0,1
2,USA,0,1972,10,10,0,0,1
2,USA,0,1973,10,10,0,0,1
2,USA,0,1974,10,10,0,0,1
2,USA,0,1975,10,10,0,0,1
2,USA,0,1976,10,10,0,0,1
2,USA,0,1977,10,10,0,0,1
2,USA,0,1978,10,10,0,0,1
2,USA,0,1979,10,10,0,0,1
2,USA,0,1980,10,10,0,0,1
2,USA,0,1981,10,10,0,0,1
2,USA,0,1982,10,10,0,0,1
2,USA,0,1983,10,10,0,0,1
2,USA,0,1984,10,10,0,0,1
2,USA,0,1985,10,10,0,0,1
2,USA,0,1986,10,10,0,0,1
2,USA,0,1987,10,10,0,0,1
2,USA,0,1988,10,10,0,0,1
2,USA,0,1989,10,10,0,0,1
2,USA,0,1990,10,10,0,0,1
2,USA,0,1991,10,10,0,0,1
2,USA,0,1992,10,10,0,0,1
2,USA,0,1993,10,10,0,0,1
2,USA,0,1994,10,10,0,0,1
2,USA,0,1995,10,10,0,0,1
2,USA,0,1996,10,10,0,0,1
2,USA,0,1997,10,10,0,0,1
2,USA,0,1998,10,10,0,0,1
2,USA,0,1999,10,10,0,0,1
20,CANADA,1,1945,10,10,0,0,1
20,CANADA,0,1946,10,10,0,0,1
20,CANADA,0,1947,10,10,0,0,1
20,CANADA,0,1948,10,10,0,0,1
20,CANADA,0,1949,10,10,0,0,1
20,CANADA,0,1950,10,10,0,0,1
20,CANADA,0,1951,10,10,0,0,1
20,CANADA,0,1952,10,10,0,0,1
20,CANADA,0,1953,10,10,0,0,1
20,CANADA,0,1954,10,10,0,0,1
20,CANADA,0,1955,10,10,0,0,1
20,CANADA,0,1956,10,10,0,0,1
20,CANADA,0,1957,10,10,0,0,1
20,CANADA,0,1958,10,10,0,0,1
